[     467ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     468ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     468ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     468ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     468ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     469ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     469ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     470ms] [WARNING] Shoppable Display: Item Card failed to load {app: store, side: client, buildSystem: rspack, owner: ads_formats, item_id: items_177895-48846212} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     470ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     470ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     470ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     471ms] [WARNING] BatchingHints batch query error {app: store, side: client, buildSystem: rspack, owner: customers_storefront, batchResultError: Object} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
[     472ms] [WARNING] Async Video Placement: Item Card failed to load {app: store, side: client, buildSystem: rspack, owner: ads_formats, item_id: items_177895-46242976} @ https://d2guulkeunn7d8.cloudfront.net/assets/rspack/sentry-bundle.min-e758b2a5efb6b457-v3.js:3
